,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,cerebellum,female gonad,placenta,frontal cortex,Ammon's horn,fibroblast,thymus,zone of skin,heart left ventricle,multi-cellular organism,prostate gland,adipose tissue,adrenal gland,adrenal tissue,intestine,lymph node,muscle of leg,stomach,thoracic mammary gland,thyroid gland
0,"27_0,15_0",,,0.0017923203271208263,,,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,,
1,"27_0,2_1,15_0",1.0,1.0,0.998207679672879,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,,1.0,,,,,,,,,,,,,,,,,,,,
2,"27_0,2_1,15_0",1.0,,,1.0,1.0,,,,1.0,gorilla_gorilla,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
3,"27_0,15_0",,,,,,,,,,homo_sapiens,,,,,,,,,,,0.014093201300413243,0.0013494781004335641,0.0003559713957140086,,,,,,,,,
4,"27_0,2_1,15_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,homo_sapiens,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.9859067986995868,0.9986505218995665,0.999644028604286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,"27_0,2_1,15_0",1.0,1.0,,1.0,,,,,1.0,monodelphis_domestica,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
6,"27_0,2_1,15_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mus_musculus,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
7,"27_0,2_1,15_0",1.0,1.0,,1.0,1.0,,,,1.0,ornithorhynchus_anatinus,,,1.0,1.0,,,,,,,,,,,,,,,,,,
8,"27_0,2_1,15_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,
9,"27_0,2_1,15_0",1.0,,,1.0,1.0,1.0,,,,sus_scrofa,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10,"3_4,34_0",0.4472639154816331,0.43028674508628945,,0.2828813728327438,,,,,0.6043548180200168,monodelphis_domestica,,,1.0,0.7214990886476675,1.0,,,,,,,,,,,,,,,,,
11,"3_4,25_0,34_0",0.552736084518367,0.5697132549137107,,0.7171186271672563,1.0,,,,0.3956451819799832,monodelphis_domestica,,,,0.2785009113523325,,,,,,,,,,,,,,,,,,
12,"3_4,34_0",0.37327648492584514,0.32722809529521235,0.11889894342305354,0.5151803493271176,0.6505574779796341,0.8443944753474868,0.3636176908773186,0.598259256539021,0.8823253984947748,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,
13,"3_4,25_0,34_0",0.6267235150741549,0.6727719047047878,0.8811010565769465,0.48481965067288235,0.34944252202036585,0.15560552465251312,0.6363823091226813,0.4017407434609791,0.11767460150522527,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,
14,"3_4,34_0",0.7499999999999999,,,0.6666666666666666,1.0,0.9837398373983739,,,,sus_scrofa,0.7,0.3795784546904761,,,,,,,,,,,,,,,,,,,,
15,"3_4,25_0,34_0",0.25,,,0.33333333333333337,,0.016260162601626015,,,,sus_scrofa,0.3,0.620421545309524,,,,,,,,,,,,,,,,,,,,
16,"34_1,36_0,32_1,21_1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,,1.0,,,,,,,,,,,,,,,,,,,,
17,"34_1,21_1",0.10357905168311393,,,0.17546027379594087,0.1100886273111559,,,,0.02109752887266185,gorilla_gorilla,,0.014005549139186778,0.11967929938555436,,,0.08256880733944957,,,,,,,,,,,,,,,,
18,"34_1,36_0,32_1,21_1",0.896420948316886,,,0.8245397262040591,0.8899113726888441,,,,0.9789024711273382,gorilla_gorilla,,0.9859944508608133,0.8803207006144457,,,0.9174311926605505,,,,,,,,,,,,,,,,
19,"34_1,21_1",,,,,,,,,,homo_sapiens,,,,0.0032838362285996982,,,,,,,,,0.0009020119635439915,,,,,,,,,
20,"34_1,36_0,32_1,21_1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,homo_sapiens,1.0,1.0,1.0,0.9967161637714003,1.0,1.0,,,,,1.0,1.0,0.999097988036456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,"34_1,36_0,32_1,21_1",1.0,1.0,,1.0,,,,,1.0,monodelphis_domestica,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
22,"34_1,21_1",,0.2951217817269984,,,,0.0600262018320127,,,,mus_musculus,,,,,,,,,,,,,,,,,,,,,,
23,"34_1,36_0,32_1,21_1",1.0,0.7048782182730016,1.0,1.0,1.0,0.9399737981679872,1.0,1.0,1.0,mus_musculus,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
24,"34_1,36_0,32_1,21_1",1.0,1.0,,1.0,1.0,,,,1.0,ornithorhynchus_anatinus,,,1.0,1.0,,,,,,,,,,,,,,,,,,
25,"34_1,36_0,32_1,21_1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,
26,"34_1,36_0,32_1,21_1",1.0,,,1.0,1.0,1.0,,,,sus_scrofa,1.0,1.0,,,,,,,,,,,,,,,,,,,,
