Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	brain	cerebellum	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
monodelphis_domestica	18_0,2_0,2_1,2_2,21_0					2.16351312091823e-07		1.7284633419038382e-07	8.685617039020037e-08					1.0507941213044572e-06				6.05208561896905e-08					1.349773835752578e-07						1.0039262289310807e-06						4.91487780927868e-07				
sus_scrofa	18_0,2_0,2_1,2_2,21_0					2.8971958485579376e-07												2.99855035083289e-07			6.156329251745671e-07		3.569272380655952e-07	6.593684454356844e-06						7.221123151830489e-07									
bos_taurus	18_0,2_0,2_1,2_2,21_0					2.3871738976272244e-06		5.013803311495245e-07		4.750585224539565e-06								1.868487541885992e-07					3.6588130147743933e-07	2.9957684620081556e-06						8.990120781440293e-07		1.8404230859747428e-07	2.8059076353200706e-07		2.2340006428345565e-07				
xenopus_tropicalis	18_0,21_0											9.084537309713186e-08					9.783015647835697e-08																						
sus_scrofa	18_0,21_0																				1.7589512147844774e-07																		
mus_musculus	24_1,23_0,12_0	4.462332671987503e-07				5.9679237616267e-07		1.4116431668078366e-07	1.3531045735825801e-07	3.1155258759175027e-06			1.822827642422901e-08	5.682348970338606e-07	1.8479533547006022e-07			2.9131044466385853e-07					2.3607821504332686e-07	3.060507884817263e-06					9.018785353625317e-07			4.587767310946462e-08	3.521864036110828e-07		1.3374332419368707e-07		2.3526868896894425e-07		3.6801187834722094e-07
monodelphis_domestica	24_1,23_0,12_0					5.671132497199445e-07		1.4198434711978377e-07	1.5148217196397275e-07					8.407310430033861e-07				5.927192763879026e-08					1.8260326084918206e-07						1.3448562535762681e-06						5.690802817392228e-07				
xenopus_tropicalis	24_1,23_0,12_0						8.789705411013985e-07	5.924961551460462e-07			2.42227395105727e-07	5.089851041787377e-07		1.414194259512762e-06			8.576688304769907e-07	2.8748976048687837e-07					1.4387351359343408e-06			7.802273082278871e-07									9.601477688167337e-06				
bos_taurus	24_1,23_0,12_0					1.6830265855775011e-06		3.8847508875772324e-07		3.992931098755588e-06								1.9552028622376442e-07					3.081967199949089e-07	2.28867152649869e-06						7.118493740462988e-07			1.6259777320748332e-07		1.9930416633539716e-07				
gorilla_gorilla	24_1,23_0,12_0					4.3137917247793046e-07			8.18225414719597e-08							1.624331762095562e-07		4.888632979849187e-08					1.3766220783055436e-07							1.4014160258667572e-07					2.610505145968533e-07				
sus_scrofa	24_1,23_0,12_0					1.6380291566373662e-07												2.3738523610760374e-07			3.9576402332650746e-07		4.162539853035765e-07	7.262608964219133e-06						7.35709162193402e-07									
homo_sapiens	24_1,23_0,12_0		1.7800291664961168e-06	8.343463962250262e-07	1.0318153814108658e-06	7.430490271508534e-07		3.6079193107648713e-07		4.950964684700271e-07				9.314123445865909e-07		1.534196744029235e-07		2.1226390246486724e-07	1.7801973711215608e-07	2.2473253384460555e-06	9.60502280814045e-07	2.7384231659715506e-07	1.2670009581157415e-07	1.0281917234575182e-06	1.0736970517774197e-06		6.112865272328968e-07	8.995673869515844e-08	6.073571104071147e-07	2.471237539056809e-07	6.351149289861194e-07	1.5040471581183547e-07		8.955526826028815e-07	7.283222044780624e-07	3.14603187400339e-07		1.53388617785293e-06	
rattus_norvegicus	24_1,23_0,12_0					2.3007628946863812e-06		5.713631309849863e-07		4.029455894284103e-06								2.2006674579360154e-07					5.838983508834685e-07	2.770775520611956e-06								8.934525581441541e-08	1.6167467543648382e-07		2.3676907529807772e-07				
xenopus_tropicalis	24_1,12_0											9.548636889115214e-08																							3.715719238768031e-08				
bos_taurus	24_1,12_0																													7.360288468924702e-08					1.2200937781159171e-08				
