,path,blastula,embryo,gastrula,heart,brain,egg cell,female gonad,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,cerebellum,placenta,kidney,prefrontal cortex,frontal cortex,thymus,zone of skin,Ammon's horn,bone marrow,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,intestine,multi-cellular organism,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,leukocyte,lymph node,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland
0,"5_0,8_0",,,,,,,,,,,0.006863366625573431,bos_taurus,,,0.0038873614730689002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"5_0,3_1,8_0",,,,1.0,1.0,,,1.0,,1.0,0.9931366333744266,bos_taurus,1.0,1.0,0.9961126385269311,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,"5_0,3_1,8_0",,,,1.0,,,,1.0,,,1.0,gorilla_gorilla,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
3,"5_0,8_0",,,,,0.012492159267861439,,0.0003313110439493055,,,,,homo_sapiens,,,,,0.02380679671351186,,,,,,,,,,,,,,0.002720483223340074,0.0003809708221526804,,,,,,,,,,,
4,"5_0,3_1,8_0",,,,1.0,0.9875078407321386,,0.9996686889560507,1.0,,1.0,1.0,homo_sapiens,1.0,1.0,1.0,,0.9761932032864882,1.0,1.0,1.0,1.0,,,,,,,,,,0.9972795167766599,0.9996190291778474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,"5_0,3_1,8_0",,,,1.0,1.0,,1.0,1.0,,,1.0,monodelphis_domestica,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,"5_0,8_0",,,,0.014011626917871533,,,,,,,,mus_musculus,0.027761503083457102,,0.002317397734173934,0.005495754825306205,,0.0013412241734388276,,,,0.004362148442546363,0.478119607243327,,,,,,,,,,,,,,,,,,,,
7,"5_0,3_1,8_0",,,,0.9859883730821286,1.0,,1.0,1.0,,1.0,1.0,mus_musculus,0.9722384969165428,1.0,0.9976826022658261,0.9945042451746937,1.0,0.9986587758265612,,,,0.9956378515574537,0.521880392756673,1.0,,,,,,,,,,,,,,,,,,,
8,"5_0,8_0",,,,,,,,0.0400909378070141,,0.007008400218881833,,rattus_norvegicus,0.04937195871191165,0.0006162994484219793,0.0011027111162851971,0.0006245559671293859,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"5_0,3_1,8_0",,,,1.0,1.0,,,0.9599090621929859,,0.9929915997811182,1.0,rattus_norvegicus,0.9506280412880884,0.999383700551578,0.9988972888837149,0.9993754440328706,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"5_0,3_1,8_0",,,,1.0,,,,1.0,,,,sus_scrofa,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,"5_0,8_0",0.040136493296339386,0.02329967157655014,0.022237874987631627,4.8386850228125264e-05,,,,,,,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"5_0,3_1,8_0",0.9598635067036606,0.9767003284234499,0.9777621250123684,0.9999516131497719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
